Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-23,The Host,2006,https://boxd.it/16qzJp,2.5,,,2020-04-23
2020-04-25,Certified Copy,2010,https://boxd.it/16EJz3,3.5,,,2020-04-25
2020-04-26,Certified Copy,2010,https://boxd.it/16Mzmp,4.5,Yes,,2020-04-26
2020-04-28,Extraction,2020,https://boxd.it/173XOr,2,,,2020-04-28
2020-04-29,Bad Education,2019,https://boxd.it/17aPhN,4,,,2020-04-29
2020-04-29,Truth or Dare,2017,https://boxd.it/17aT9N,0.5,,,2020-04-29
2020-04-30,Killer Klowns from Outer Space,1988,https://boxd.it/17hv5L,3.5,,,2020-04-30
2020-05-01,Molly's Game,2017,https://boxd.it/17piIV,4,,,2020-05-01
2020-05-02,Blood Father,2016,https://boxd.it/17x17J,2,,,2020-05-02
2020-05-03,It Chapter Two,2019,https://boxd.it/17FFzf,2,,,2020-05-03
2020-05-04,The Matrix Reloaded,2003,https://boxd.it/17NzcP,2.5,,,2020-05-03
2020-05-04,The Matrix Revolutions,2003,https://boxd.it/17Nzvd,1,,,2020-05-03
2020-05-04,Closer,2004,https://boxd.it/17Pwt3,4,,,2020-05-04
2020-05-05,Dragged Across Concrete,2018,https://boxd.it/17UujP,4,,,2020-05-04
2020-05-05,Shutter Island,2010,https://boxd.it/17VEbN,4,,,2020-05-04
2020-05-05,Mortal Kombat,1995,https://boxd.it/17WsQh,1,,,2020-05-05
2020-05-07,The Killing of a Sacred Deer,2017,https://boxd.it/188ySn,3,,,2020-05-06
2020-05-07,La La Land,2016,https://boxd.it/189SLN,5,Yes,,2020-05-07
2020-05-08,Jarhead,2005,https://boxd.it/18f3kt,3.5,,,2020-05-07
2020-05-12,The Meg,2018,https://boxd.it/18LeR3,3,,,2020-05-11
2020-05-15,Avengers: Endgame,2019,https://boxd.it/1933mT,3,,,2020-05-14
2020-05-18,Star Wars: The Rise of Skywalker,2019,https://boxd.it/19nbJL,2,,,2020-05-17
2020-05-19,Bone Tomahawk,2015,https://boxd.it/19yzgP,3.5,,,2020-05-18
2020-05-25,Vice,2018,https://boxd.it/1abAib,1.5,,,2020-05-24
2020-05-28,Uncut Gems,2019,https://boxd.it/1axlGV,4.5,Yes,,2020-05-27
2020-05-31,Come to Daddy,2019,https://boxd.it/1aRNdx,1.5,,,2020-05-30
2020-05-31,Honey Boy,2019,https://boxd.it/1aUFAJ,4,,,2020-05-30
2020-06-05,Den of Thieves,2018,https://boxd.it/1bqA3p,3,,,2020-06-05
2020-06-08,Escape From Alcatraz,1979,https://boxd.it/1bIc7D,3,,,2020-06-07
2020-06-08,Ash Is Purest White,2018,https://boxd.it/1bKJxD,3,,,2020-06-07
2020-06-09,The Great Escape,1963,https://boxd.it/1bRn3F,3.5,,,2020-06-08
2020-06-10,Escape from New York,1981,https://boxd.it/1bX1fr,3.5,,,2020-06-09
2020-06-11,House of 1000 Corpses,2003,https://boxd.it/1c3IdZ,1.5,,,2020-06-10
2020-06-13,Da 5 Bloods,2020,https://boxd.it/1ceSrf,3,,,2020-06-12
2020-06-17,Batman: The Killing Joke,2016,https://boxd.it/1cIK7r,3.5,,,2020-06-16
2020-06-18,Spirited Away,2001,https://boxd.it/1cP1zp,4.5,,,2020-06-18
2020-06-21,Nausicaä of the Valley of the Wind,1984,https://boxd.it/1d7X5j,3,,,2020-06-21
2020-06-24,Uncut Gems,2019,https://boxd.it/1dmFQL,5,Yes,,2020-06-23
2020-06-25,The Fountain,2006,https://boxd.it/1dwcgp,2.5,,,2020-06-25
2020-06-26,Castle in the Sky,1986,https://boxd.it/1dBo2J,3.5,,,2020-06-26
2020-06-27,The Lighthouse,2019,https://boxd.it/1dHhLJ,4.5,Yes,,2020-06-27
2020-06-29,The Cabin in the Woods,2011,https://boxd.it/1dRPTd,3.5,,,2020-06-28
2020-07-02,Doctor Sleep,2019,https://boxd.it/1e8Ry1,3,,,2020-07-01
2020-07-11,Jeffrey Epstein: Filthy Rich,2020,https://boxd.it/1f85fJ,3.5,,,2020-07-05
2020-07-15,Ready or Not,2019,https://boxd.it/1fAXtB,4,,,2020-07-14
2020-07-17,Rambo: Last Blood,2019,https://boxd.it/1fJ0d3,2,,,2020-07-16
2020-07-19,Ready or Not,2019,https://boxd.it/1fW7Cv,4,Yes,,2020-07-18
2020-07-24,Blow Out,1981,https://boxd.it/1gswxT,4,,,2020-07-23
2020-07-24,Dressed to Kill,1980,https://boxd.it/1gtuJv,4,,,2020-07-23
2020-07-28,The Handmaiden,2016,https://boxd.it/1gV0CZ,5,,,2020-07-27
2020-08-02,Princess Mononoke,1997,https://boxd.it/1hpeOZ,4,,,2020-08-01
2020-08-07,An American Pickle,2020,https://boxd.it/1hUOuN,3.5,,,2020-08-06
2020-08-08,Before the Devil Knows You're Dead,2007,https://boxd.it/1i3DsT,4,,,2020-08-08
2020-08-16,Richard Jewell,2019,https://boxd.it/1iPkh9,3,,,2020-08-15
2020-08-21,Howl's Moving Castle,2004,https://boxd.it/1jpp7Z,3.5,,,2020-08-20
2020-08-24,The Endless,2017,https://boxd.it/1jJCzd,3,,,2020-08-24
2020-09-02,I'm No Longer Here,2019,https://boxd.it/1kEmuF,4,,,2020-09-01
2020-09-05,I'm Thinking of Ending Things,2020,https://boxd.it/1kWmjN,4,,,2020-09-04
2020-09-07,The Searchers,1956,https://boxd.it/1leHtP,3,,,2020-09-07
